#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       6.614602207704e-01      -7.457600439344e-03      -3.550281682418e+02      -4.976116340306e+02      -7.445184742030e-03      -4.620866997757e+02       5.760350158766e-03       5.760350158766e-03 
       7.034937737277e-01      -6.763366950080e-03      -3.641534644997e+02      -5.104760997351e+02      -6.752107264988e-03      -4.740247814622e+02       5.224122792857e-03       5.224122792857e-03 
       7.556578852578e-01      -6.035002321518e-03      -3.749426435463e+02      -5.255445450534e+02      -6.024955133347e-03      -4.880232049216e+02       4.661469513005e-03       4.661469513005e-03 
       8.244691466295e-01      -5.248038849814e-03      -3.881463289895e+02      -5.440280431594e+02      -5.239301789358e-03      -5.051895738460e+02       4.053576194768e-03       4.053576194768e-03 
       9.233255611492e-01      -4.370748141879e-03      -4.054436607713e+02      -5.682424091848e+02      -4.363471596618e-03      -5.276784051285e+02       3.375921545014e-03       3.375921545014e-03 
       1.079590130458e+00      -3.387211363071e-03      -4.295779395708e+02      -6.020319804302e+02      -3.381572227092e-03      -5.590596587661e+02       2.616212679885e-03       2.616212679885e-03 
       1.328436882408e+00      -2.405758290791e-03      -4.619923507327e+02      -6.474162334057e+02      -2.401753101846e-03      -6.012089952640e+02       1.858130819771e-03       1.858130819771e-03 
       1.669582450610e+00      -1.642257009123e-03      -4.981660811591e+02      -6.980681015634e+02      -1.639522923542e-03      -6.482500506619e+02       1.268409417877e-03       1.268409417877e-03 
       2.101825866559e+00      -1.112872533995e-03      -5.350192702957e+02      -7.496742012094e+02      -1.111019788739e-03      -6.961770177223e+02       8.595256506772e-04       8.595256506772e-04 
       2.646041792467e+00      -7.509894921677e-04      -5.722265557033e+02      -8.017796007792e+02      -7.497392264210e-04      -7.445673234458e+02       5.800202928443e-04       5.800202928443e-04 
       3.331169253100e+00      -5.048871556516e-04      -6.097281280596e+02      -8.543006454318e+02      -5.040466133583e-04      -7.933432650723e+02       3.899422995423e-04       3.899422995423e-04 
       4.193693623715e+00      -3.382812926546e-04      -6.474773996949e+02      -9.071745762635e+02      -3.377181250040e-04      -8.424462914961e+02       2.612651166917e-04       2.612651166917e-04 
       5.279547472173e+00      -2.259532387507e-04      -6.854359798936e+02      -9.603494091199e+02      -2.255770815786e-04      -8.918279338572e+02       1.745099819826e-04       1.745099819826e-04 
       6.646556475493e+00      -1.504975685604e-04      -7.235608915383e+02      -1.013770599276e+03      -1.502470350344e-04      -9.414369319767e+02       1.162332636048e-04       1.162332636048e-04 
       8.367518847923e+00      -9.998037203628e-05      -7.618179305354e+02      -1.067398992729e+03      -9.981394339942e-05      -9.912359867584e+02       7.721759305947e-05       7.721759305947e-05 
       1.053408211132e+01      -6.626250488723e-05      -8.001762267712e+02      -1.121205207219e+03      -6.615221277578e-05      -1.041196327876e+03       5.117664675146e-05       5.117664675146e-05 
       1.326162365986e+01      -4.381952764140e-05      -8.385949360855e+02      -1.175155350688e+03      -4.374660103984e-05      -1.091283984156e+03       3.384363315286e-05       3.384363315286e-05 
       1.669539502705e+01      -2.891927005355e-05      -8.770329978209e+02      -1.229229994488e+03      -2.887115144347e-05      -1.141476835577e+03       2.233604617377e-05       2.233604617377e-05 
       2.101825705950e+01      -1.904952851244e-05      -9.154215404552e+02      -1.283395829452e+03      -1.901784282112e-05      -1.191737187464e+03       1.471362508833e-05       1.471362508833e-05 
       2.646041792382e+01      -1.252605676128e-05      -9.536811809669e+02      -1.337644562811e+03      -1.250523293301e-05      -1.242046323252e+03       9.675579487547e-06       9.675579487547e-06 
       3.331169253100e+01      -8.222772011078e-06      -9.916762051136e+02      -1.391954815603e+03      -8.209113749645e-06      -1.292366327912e+03       6.352209624261e-06       6.352209624261e-06 
       4.193693623715e+01      -5.389195964706e-06      -1.029194299888e+03      -1.446304291871e+03      -5.380256405080e-06      -1.342647047548e+03       4.163907199326e-06       4.163907199326e-06 
       5.279547472173e+01      -3.526505218763e-06      -1.065899147570e+03      -1.500670293519e+03      -3.520667956595e-06      -1.392819404212e+03       2.725423389782e-06       2.725423389782e-06 
